doc_id,source,title,type,notes
u01,https://catalog.mit.edu/mit/policies-procedures/academic-requirements/,MIT Academic Requirements,webpage,Academic progress and degree rules
u02,https://catalog.mit.edu/mit/policies-procedures/regulations/,MIT Regulations,webpage,Student responsibilities and conduct baseline
u03,https://due.mit.edu/handbook,MIT Student Handbook,webpage,Central student policy references
u04,https://registrar.mit.edu/registration-academics/academic-requirements,MIT Registrar Academic Requirements,webpage,Registration and standing details
u05,https://catalog.mit.edu/mit/undergraduate-education/academic-integrity/,MIT Academic Integrity,webpage,Integrity policy section
u06,https://catalog.mit.edu/mit/policies-procedures/procedures/,MIT Procedures,webpage,Procedure-level policy guidance
u07,https://catalog.mit.edu/mit/graduate-education/general-degree-requirements/,MIT Graduate Degree Requirements,webpage,Graduate-focused rules
u08,https://oge.mit.edu/gpp/degrees/degree-requirements/,MIT OGE Degree Requirements,webpage,Graduate education policy support
u09,https://studentlife.mit.edu/policies,MIT Student Life Policies,webpage,Student life governance
u10,https://idhr.mit.edu/policies-procedures,MIT IDHR Policies & Procedures,webpage,Discrimination/harassment procedures
u11,https://catalog.mit.edu/mit/policies-procedures/wellbeing-support-resources/,MIT Wellbeing and Support Resources,webpage,Support policy references
u12,https://iso.mit.edu/maintaining-status/full-time-enrollment/,MIT Full-time Enrollment Guidance,webpage,Enrollment rules for status
u13,https://sfs.mit.edu/undergraduate-students/the-cost-of-attendance/financial-aid-policies/,MIT Financial Aid Policies,webpage,Aid policy references
u14,https://registrar.mit.edu/classes-grades-evaluations/examinations,MIT Examination Policies,webpage,Exam policy details
u15,https://catalog.mit.edu/mit/policies-procedures/academic-performance/,MIT Academic Performance Policies,webpage,Warnings/probation references
